model_type,polynomial,regularization,use_momentum,method,initialization,learning_rate,cv_mse,cv_r2,cv_r2_std
ridge,False,ridge,False,mini-batch,xavier,0.001,0.2491391234725026,0.5722405618733288,0.0519837641805732
lasso,False,lasso,False,mini-batch,xavier,0.001,0.24922879521703126,0.5720901040209754,0.05190209601895048
normal,False,normal,True,mini-batch,xavier,0.0001,0.2503247933300482,0.5701964908896281,0.05246179197635013
ridge,False,ridge,True,mini-batch,xavier,0.0001,0.2503656356130222,0.5701279519499949,0.052431179723586546
lasso,False,lasso,True,mini-batch,xavier,0.0001,0.2504479178823299,0.5699903752134976,0.05234306011640262
polynomial,True,normal,False,stochastic,xavier,0.01,0.3018537773146582,0.4779731939431306,0.7038646325109875
polynomial,True,normal,False,mini-batch,xavier,0.01,0.3161415376058949,0.4528780007211493,0.8088048274643719
polynomial,True,normal,True,mini-batch,xavier,0.001,0.3269122005193083,0.434161591727657,0.8463759677691829
polynomial,True,normal,True,stochastic,xavier,0.001,0.34652475228350166,0.4009893352056119,0.8135695812581626
polynomial,True,normal,False,batch,zeros,0.01,0.36557500851009594,0.37527193339933207,0.010634892841887294
polynomial,True,normal,False,stochastic,xavier,0.0001,0.40450291341843625,0.29933769773525337,1.1218462364859638
normal,False,normal,False,batch,zeros,0.01,0.4151224613098886,0.29106245685994436,0.003724450729080794
ridge,False,ridge,False,batch,zeros,0.01,0.41513862313446814,0.29103486983278615,0.0037241214981230037
lasso,False,lasso,False,batch,zeros,0.01,0.41546445743872773,0.29047819394124985,0.0037198407748396337
polynomial,True,normal,True,batch,zeros,0.001,0.45404542606706233,0.22436734592585186,0.00643657918433539
lasso,False,lasso,True,stochastic,zeros,0.01,0.46514618471493263,0.19459716089085083,0.4086054405736078
ridge,False,ridge,True,stochastic,zeros,0.01,0.4651729259924481,0.1943801541304225,0.41907091112760037
normal,False,normal,True,stochastic,zeros,0.01,0.4719682631078044,0.18179406934781986,0.5115927702714709
polynomial,True,normal,False,mini-batch,zeros,0.0001,0.48598598277487526,0.1698969577386769,0.0049538069614904244
lasso,False,lasso,False,batch,xavier,0.01,0.48820431611242077,0.16041791498380012,0.133140652211047
ridge,False,ridge,False,batch,xavier,0.01,0.48827357638574664,0.16029379879992894,0.13328200077359695
normal,False,normal,False,batch,xavier,0.01,0.48828628703148114,0.16027100419398296,0.1333080964353927
normal,False,normal,True,batch,zeros,0.001,0.49518860054497393,0.1543850319485096,0.0020322865300577745
ridge,False,ridge,True,batch,zeros,0.001,0.49519070444487606,0.15438144015036218,0.0020322419440464024
lasso,False,lasso,True,batch,zeros,0.001,0.49537281557835355,0.15407028384744967,0.002028370384958973
normal,False,normal,False,mini-batch,zeros,0.0001,0.5172677451662583,0.11668957357148724,0.0017550208091849382
ridge,False,ridge,False,mini-batch,zeros,0.0001,0.5172704613422431,0.11668493635570143,0.001754961093672017
lasso,False,lasso,False,mini-batch,zeros,0.0001,0.5174291598473533,0.11641377655409013,0.0017513374710716545
polynomial,True,normal,False,batch,zeros,0.001,0.5537507255481107,0.054336604399607455,0.001595899893572559
normal,False,normal,False,batch,zeros,0.001,0.5651372913559698,0.034961122438167715,0.0005240981994246998
ridge,False,ridge,False,batch,zeros,0.001,0.5651375169157908,0.034960737316790814,0.0005240936887392574
lasso,False,lasso,False,batch,zeros,0.001,0.5651838410013547,0.03488157973775585,0.0005230125929142388
polynomial,True,normal,True,mini-batch,xavier,0.0001,0.559351778177677,0.033625585773159994,1.1195379738728606
polynomial,True,normal,False,mini-batch,xavier,0.001,0.559494045950571,0.03337117314066642,1.1229041092974668
polynomial,True,normal,True,batch,zeros,0.0001,0.5706023724272555,0.025598260975111132,0.0008154797649732897
