model_type,polynomial,regularization,use_momentum,method,initialization,learning_rate,cv_mse,cv_mse_std,cv_r2,cv_r2_std
ridge,False,ridge,True,mini-batch,zeros,0.001,0.08134277182342395,0.005930314606364952,0.8565057418634667,0.006523360112791251
normal,False,normal,False,stochastic,xavier,0.0001,0.08138319554297282,0.005955866415645207,0.8564880493029788,0.005377825932052002
ridge,False,ridge,False,stochastic,xavier,0.0001,0.0814074871959436,0.005965653304341291,0.8564454836922326,0.005393796659081248
lasso,False,lasso,False,mini-batch,zeros,0.01,0.08153321369343774,0.005835260465873918,0.8561642139151179,0.0063884503148760085
lasso,False,lasso,True,mini-batch,zeros,0.001,0.08161639358351407,0.005829258594853861,0.8560171128279037,0.0063587962343703
lasso,False,lasso,False,mini-batch,xavier,0.01,0.08368623442300409,0.005793324207688671,0.8523913206314644,0.005317309107348639
normal,False,normal,False,mini-batch,xavier,0.01,0.08372473554891376,0.005899519302572448,0.8523313184087582,0.005442527257785473
ridge,False,ridge,False,mini-batch,xavier,0.01,0.08374510897450135,0.005906629484378134,0.852295319567802,0.005460753391173081
lasso,False,lasso,True,mini-batch,xavier,0.001,0.08378871649258698,0.0058539700817277236,0.8522133843150194,0.005414348075083467
normal,False,normal,True,mini-batch,xavier,0.001,0.083847100062602,0.0059631632712160276,0.852118387967624,0.00554475194330017
ridge,False,ridge,True,mini-batch,xavier,0.001,0.08386166289391059,0.00597072786167268,0.852092702359076,0.005563501170362535
polynomial,True,normal,True,stochastic,xavier,0.001,0.08744240482224168,0.013434768657076221,0.846005018178938,0.019597503374216212
polynomial,True,normal,False,stochastic,xavier,0.01,0.09278130313177516,0.021599516937028128,0.837052003819647,0.03200181068416646
normal,False,normal,True,batch,zeros,0.01,0.13272817198914827,0.011132007183630551,0.76582230405083,0.015197109557832997
ridge,False,ridge,True,batch,zeros,0.01,0.132760566938721,0.011132561462978025,0.7657650406457608,0.015197879064615897
lasso,False,lasso,True,batch,zeros,0.01,0.13301157488263593,0.011116144779492616,0.7653197056831751,0.015185084999685294
normal,False,normal,True,batch,xavier,0.01,0.14282545217565687,0.013515444795172634,0.7480893742885621,0.018371756369677975
ridge,False,ridge,True,batch,xavier,0.01,0.14283391347086188,0.013510717143015428,0.748074542107345,0.01835855831326168
lasso,False,lasso,True,batch,xavier,0.01,0.14286511864711107,0.013473202235322442,0.7480184694093662,0.018283423438918363
polynomial,True,normal,True,mini-batch,zeros,0.01,0.14601169505473827,0.0643902154484104,0.7456089520931772,0.10091982924161774
lasso,False,lasso,True,stochastic,zeros,0.01,0.15714731315345934,0.04785447678352317,0.722179829914274,0.08666647446463455
polynomial,True,normal,True,mini-batch,xavier,0.01,0.1662359996967836,0.10865496615355327,0.7121991230973057,0.17448648459462662
ridge,False,ridge,True,stochastic,zeros,0.01,0.16351132077987535,0.058124298367472835,0.7104461024242171,0.10690135037153722
polynomial,True,normal,True,batch,zeros,0.01,0.1782674563678786,0.012847307060054635,0.6854646836554136,0.016188977558437238
normal,False,normal,True,stochastic,zeros,0.01,0.1784411543724032,0.07748861350658552,0.683155765901688,0.1439454824097032
polynomial,True,normal,False,mini-batch,zeros,0.001,0.1960664017926324,0.009780084353620176,0.6538066884660674,0.012783021125711105
polynomial,True,normal,True,mini-batch,zeros,0.0001,0.19664520340076352,0.009822216717487911,0.6527880158485269,0.012763325775601487
normal,False,normal,False,mini-batch,zeros,0.001,0.21304557249600148,0.01165092087611987,0.6239389644278068,0.013055344434689623
ridge,False,ridge,False,mini-batch,zeros,0.001,0.21312608748759088,0.011651615681825964,0.6237967391102722,0.013053051740304666
lasso,False,lasso,False,mini-batch,zeros,0.001,0.2135958943961424,0.011638689528717798,0.6229659238364402,0.013020772896654058
normal,False,normal,True,mini-batch,zeros,0.0001,0.21397760508552022,0.011399361547581088,0.6222871121055046,0.012479964845210863
ridge,False,ridge,True,mini-batch,zeros,0.0001,0.21405474416763376,0.011399870280184722,0.6221508491517521,0.012477272078737183
lasso,False,lasso,True,mini-batch,zeros,0.0001,0.21452637843837263,0.011386135735868901,0.6213167933426116,0.012442694791812946
polynomial,True,normal,True,batch,xavier,0.01,0.2156643435278093,0.03901146745663431,0.618418918202468,0.0721656959581464
normal,False,normal,False,mini-batch,xavier,0.001,0.23429232113780638,0.019955626028328545,0.585864258308767,0.037573643347683795
ridge,False,ridge,False,mini-batch,xavier,0.001,0.23434645488269026,0.0199459090969356,0.5857686928920057,0.03755735360125782
lasso,False,lasso,False,mini-batch,xavier,0.001,0.23449580329443082,0.019895660000331026,0.5855033805290768,0.037492025740382344
normal,False,normal,True,mini-batch,xavier,0.0001,0.2351792759857186,0.01988336005722113,0.5842977947565997,0.03745177980880305
ridge,False,ridge,True,mini-batch,xavier,0.0001,0.23522979718985065,0.019873001977323265,0.5842086392983538,0.037434089216303375
lasso,False,lasso,True,mini-batch,xavier,0.0001,0.23537049742189264,0.01981971146011119,0.5839587623561365,0.03736203232732694
polynomial,True,normal,False,mini-batch,xavier,0.001,0.25018625549043444,0.0344630551224921,0.5575229354040676,0.06447183227841473
polynomial,True,normal,True,mini-batch,xavier,0.0001,0.250903469493512,0.03474326540622844,0.5562578513456646,0.06495626385831467
lasso,False,lasso,True,stochastic,xavier,0.01,0.29257645355609774,0.22703756562642002,0.49232036353429576,0.3753344285663245
ridge,False,ridge,True,stochastic,xavier,0.01,0.3076174482749603,0.2349871216858285,0.4646438244703589,0.3937959809950499
normal,False,normal,True,stochastic,xavier,0.01,0.32601246389330796,0.24549573918878237,0.4312126267254225,0.4161743944041943
polynomial,True,normal,False,batch,zeros,0.01,0.35392517006139934,0.013880471043408093,0.3750667187910757,0.012432988582278835
normal,False,normal,False,batch,zeros,0.01,0.4023037192477926,0.015073666776803241,0.28969439240841705,0.007700507040333938
ridge,False,ridge,False,batch,zeros,0.01,0.4023193414602154,0.015074043157742124,0.2896668066023779,0.0076998489334932484
lasso,False,lasso,False,batch,zeros,0.01,0.4026353087346185,0.015078767221507106,0.2891087388009191,0.007681036003192669
polynomial,True,normal,True,batch,zeros,0.001,0.44053577122771365,0.015782438109546625,0.22215139032031547,0.007832096040996639
lasso,False,lasso,False,batch,xavier,0.01,0.456116123057852,0.048607237853517685,0.19294875900636443,0.09657457423209453
ridge,False,ridge,False,batch,xavier,0.01,0.45615451756918385,0.048667743016688345,0.1928810124185155,0.09666999054869245
normal,False,normal,False,batch,xavier,0.01,0.4561589496935957,0.04867860103189886,0.1928728927076831,0.0966894289949853
polynomial,True,normal,False,batch,xavier,0.01,0.4697740739048598,0.08347302400028099,0.1688763376767631,0.15448872447832915
polynomial,True,normal,False,mini-batch,zeros,0.0001,0.47330049498232113,0.016520325458783233,0.16429741326584937,0.005503219315068335
normal,False,normal,True,batch,zeros,0.001,0.4796513319707004,0.017111100640309938,0.15311414521917324,0.004329770130695538
ridge,False,ridge,True,batch,zeros,0.001,0.47965335661274544,0.017111160325777777,0.15311057024916147,0.004329680456070452
lasso,False,lasso,True,batch,zeros,0.001,0.4798287522139989,0.017115476310087,0.1528008300584321,0.004319011290524496
normal,False,normal,False,mini-batch,zeros,0.0001,0.5024114367589095,0.017729393446112112,0.1129239365749349,0.002853671794740235
ridge,False,ridge,False,mini-batch,zeros,0.0001,0.5024139251721398,0.017729469952721434,0.11291954263441428,0.0028535729587448495
lasso,False,lasso,False,mini-batch,zeros,0.0001,0.5025627477157127,0.01773347819802437,0.1126567341769061,0.0028443001579336715
polynomial,True,normal,False,batch,zeros,0.001,0.53621002121036,0.018746250906884344,0.05323919977922953,0.002272592889843368
normal,False,normal,False,batch,zeros,0.001,0.5469035443795838,0.019203146534933293,0.034365598595999636,0.0013544854411246024
ridge,False,ridge,False,batch,zeros,0.001,0.5469037609879134,0.01920315361782605,0.034365216129570796,0.001354476335773738
lasso,False,lasso,False,batch,zeros,0.001,0.5469482099651406,0.0192045113642956,0.034286727223746,0.0013520539046486192
lasso,False,lasso,True,batch,xavier,0.001,0.5487868506851885,0.06100993476359691,0.028945587794941562,0.1205843941377948
ridge,False,ridge,True,batch,xavier,0.001,0.548810876103053,0.061047663692374854,0.028903323274163874,0.1206429730048353
normal,False,normal,True,batch,xavier,0.001,0.5488213950287382,0.06105464510652034,0.028884562673820734,0.12065561693659081
polynomial,True,normal,True,batch,zeros,0.0001,0.5522845311833565,0.01932531760768677,0.024860577925239748,0.001369349163374153
normal,False,normal,True,batch,zeros,0.0001,0.5575162484763263,0.019552264438323384,0.0156266963521249,0.0009301110360298206
ridge,False,ridge,True,batch,zeros,0.0001,0.5575162712728111,0.019552265194431588,0.01562665610037246,0.0009301101951754806
lasso,False,lasso,True,batch,zeros,0.0001,0.5575362436801685,0.01955289184096329,0.01559138879309463,0.000929195892574665
polynomial,True,normal,False,batch,zeros,0.0001,0.5636792140187123,0.019745133499576028,0.004743922342078122,0.000781410295611394
normal,False,normal,False,batch,zeros,0.0001,0.5648373606659854,0.019796119440167192,0.002699814556398339,0.0006912164702868041
ridge,False,ridge,False,batch,zeros,0.0001,0.5648373629044832,0.0197961195150591,0.002699810603887287,0.0006912164101477596
lasso,False,lasso,False,batch,zeros,0.0001,0.564841963373872,0.019796266502714273,0.002691687150973188,0.0006910781905892193
lasso,False,lasso,False,mini-batch,xavier,0.0001,0.5767476381526564,0.06490942150437651,-0.020501657186535627,0.12781004951913102
ridge,False,ridge,False,mini-batch,xavier,0.0001,0.5767662212089788,0.06493889515914686,-0.020534351278845307,0.12785604512618542
normal,False,normal,False,mini-batch,xavier,0.0001,0.576772958984858,0.06494395409734961,-0.020546381398185366,0.12786519483401682
polynomial,True,normal,True,batch,xavier,0.001,0.5892449348404826,0.12055285908560143,-0.042741349512503655,0.2218645708299054
lasso,False,lasso,False,batch,xavier,0.001,0.6303283949282203,0.07205149823557709,-0.11527768435171733,0.14133641949659445
ridge,False,ridge,False,batch,xavier,0.001,0.630334085149183,0.07206006806340978,-0.11528768332899904,0.14134972157039047
normal,False,normal,False,batch,xavier,0.001,0.6303369319290275,0.07206175680877588,-0.11529275332410367,0.14135278675803692
polynomial,True,normal,False,mini-batch,xavier,0.0001,0.6362987829809812,0.1389830242750212,-0.12616088512558132,0.2553007027422574
lasso,False,lasso,True,batch,xavier,0.0001,0.6432337889522479,0.07382055536392255,-0.13810046224678857,0.1446346534856887
ridge,False,ridge,True,batch,xavier,0.0001,0.6432363859643508,0.07382457385361375,-0.1381050236317975,0.14464088517448795
normal,False,normal,True,batch,xavier,0.0001,0.6432378242364896,0.07382538052809456,-0.13810758373146176,0.14464235030429684
lasso,False,lasso,False,batch,xavier,0.0001,0.6521476896933732,0.07504642063132114,-0.1538634071876817,0.14691222434217607
ridge,False,ridge,False,batch,xavier,0.0001,0.6521482550438621,0.07504729805408766,-0.15386440003354443,0.14691358518742148
normal,False,normal,False,batch,xavier,0.0001,0.6521485729422482,0.07504747464743758,-0.1538649658219511,0.1469139059982432
polynomial,True,normal,False,batch,xavier,0.001,0.7236467789263992,0.17121295641167547,-0.2809656290743666,0.3137943870335408
polynomial,True,normal,True,batch,xavier,0.0001,0.7463195045349839,0.18007275661892588,-0.32115990678020856,0.3298782931885348
polynomial,True,normal,False,batch,xavier,0.0001,0.7624356552308695,0.1864778729403422,-0.3497328281613923,0.34150666389769907
polynomial,True,normal,True,stochastic,zeros,0.01,1.753743005991943,1.0571361063257885,-2.0381095090275347,1.7005992035596715
polynomial,True,normal,True,stochastic,xavier,0.01,6.779543180949814,8.037248450569054,-10.527774247233898,13.290390583527683
