model_type,polynomial,regularization,use_momentum,method,initialization,learning_rate,cv_mse,cv_mse_std,cv_r2,cv_r2_std
lasso,False,lasso,False,mini-batch,zeros,0.0001,0.5025627477157127,0.01773347819802437,0.1126567341769061,0.0028443001579336715
polynomial,True,normal,True,batch,zeros,0.01,0.5162265144347341,0.018047247038371787,0.08851872420547846,0.0034373200318781245
normal,False,normal,True,batch,zeros,0.01,0.5329347115817524,0.018753042486775454,0.05903061259934159,0.00196045349401777
ridge,False,ridge,True,batch,zeros,0.01,0.5329357796011427,0.018753076609854345,0.059028726778360886,0.0019604063292504442
lasso,False,lasso,True,batch,zeros,0.01,0.5330128576601982,0.018755370341678197,0.058892620934948556,0.0019556864877638184
polynomial,True,normal,False,batch,zeros,0.001,0.53621002121036,0.018746250906884344,0.05323919977922953,0.002272592889843368
normal,False,normal,False,batch,zeros,0.001,0.5469035443795838,0.019203146534933293,0.034365598595999636,0.0013544854411246024
ridge,False,ridge,False,batch,zeros,0.001,0.5469037609879134,0.01920315361782605,0.034365216129570796,0.001354476335773738
lasso,False,lasso,False,batch,zeros,0.001,0.5469482099651406,0.0192045113642956,0.034286727223746,0.0013520539046486192
polynomial,True,normal,True,mini-batch,zeros,0.0001,0.5558762021417799,0.01948212475449048,0.01852035581693188,0.0015855170801747456
normal,False,normal,True,mini-batch,zeros,0.0001,0.5598069143039907,0.019646519731644576,0.011582851669458716,0.001025411225289189
ridge,False,ridge,True,mini-batch,zeros,0.0001,0.559806944816508,0.019646520742107147,0.011582797792966138,0.0010254104220199219
lasso,False,lasso,True,mini-batch,zeros,0.0001,0.5598241195314047,0.019647078708689956,0.011552471779036422,0.0010247163826408185
polynomial,True,normal,True,batch,zeros,0.001,0.5613167785155719,0.019657287385540716,0.008914652619142104,0.0008956722974085445
normal,False,normal,True,batch,zeros,0.001,0.5633196818761637,0.01974541298465505,0.005379578586842038,0.000734260229406574
ridge,False,ridge,True,batch,zeros,0.001,0.563319693507854,0.01974541337297132,0.005379558048776989,0.0007342598832460631
lasso,False,lasso,True,batch,zeros,0.001,0.5633280199327606,0.019745677571495663,0.005364855273506897,0.0007339732191446005
polynomial,True,normal,False,batch,zeros,0.0001,0.5636792140187123,0.019745133499576028,0.004743922342078122,0.000781410295611394
normal,False,normal,False,batch,zeros,0.0001,0.5648373606659854,0.019796119440167192,0.002699814556398339,0.0006912164702868041
ridge,False,ridge,False,batch,zeros,0.0001,0.5648373629044832,0.0197961195150591,0.002699810603887287,0.0006912164101477596
lasso,False,lasso,False,batch,zeros,0.0001,0.564841963373872,0.019796266502714273,0.002691687150973188,0.0006910781905892193
polynomial,True,normal,True,batch,zeros,0.0001,0.5663139226890521,0.01984339385380279,9.25066956630971e-05,0.0006642301367618124
normal,False,normal,True,batch,zeros,0.0001,0.5665179805181791,0.019852400974901107,-0.0002676520462408627,0.0006492030532306114
ridge,False,ridge,True,batch,zeros,0.0001,0.566517980635507,0.01985240097883439,-0.0002676522534065251,0.0006492030505310941
lasso,False,lasso,True,batch,zeros,0.0001,0.5665188197019282,0.01985242786652397,-0.0002691338658518783,0.0006491826687495868
lasso,False,lasso,True,mini-batch,xavier,0.001,0.5746208101793056,0.06477758747882813,-0.016745946025112635,0.1275911937199822
ridge,False,ridge,True,mini-batch,xavier,0.001,0.5746396758957109,0.0648077350750536,-0.016779147208053225,0.12763831011328144
normal,False,normal,True,mini-batch,xavier,0.001,0.5746461843321142,0.06481277573075547,-0.016790774527558016,0.12764744028332603
lasso,False,lasso,False,mini-batch,xavier,0.0001,0.5753637515883258,0.06410508676989922,-0.018041991829386837,0.12639062487990804
ridge,False,ridge,False,mini-batch,xavier,0.0001,0.5753821055912386,0.06413465592890318,-0.018074289422387,0.12643676572982648
normal,False,normal,False,mini-batch,xavier,0.0001,0.5753886576083419,0.06413965708507455,-0.018085991067326557,0.12644581714813832
lasso,False,lasso,True,batch,xavier,0.01,0.6118830242620714,0.06887441098524061,-0.08264132795323931,0.13547243708799156
ridge,False,ridge,True,batch,xavier,0.01,0.6118925501480134,0.06889035842747193,-0.08265808082761517,0.13549731911153956
normal,False,normal,True,batch,xavier,0.01,0.6118964032193767,0.06889307658949412,-0.08266495563473042,0.13550224724530524
lasso,False,lasso,False,batch,xavier,0.001,0.628766396362001,0.07116080969264078,-0.11250334493159062,0.1397712284897383
ridge,False,ridge,False,batch,xavier,0.001,0.6287720206478007,0.07116939899376522,-0.11251323012557073,0.13978456133598735
normal,False,normal,False,batch,xavier,0.001,0.6287748057280741,0.07117106853702512,-0.11251819105247333,0.13978759387545517
polynomial,True,normal,True,mini-batch,xavier,0.001,0.6341593102539327,0.13770728827164172,-0.12235670554051795,0.25301553701845925
polynomial,True,normal,False,mini-batch,xavier,0.0001,0.6343739781797325,0.1377454298592886,-0.12273945502679784,0.2530706273164789
lasso,False,lasso,True,mini-batch,xavier,0.0001,0.6445284429644712,0.0734114965706063,-0.14037947014662341,0.14395402833368598
ridge,False,ridge,True,mini-batch,xavier,0.0001,0.6445303919926667,0.07341453151392656,-0.14038289434422818,0.14395873799286646
normal,False,normal,True,mini-batch,xavier,0.0001,0.6445314376661392,0.07341512968009703,-0.14038475605819326,0.1439598252586343
lasso,False,lasso,True,batch,xavier,0.001,0.6486695404025113,0.07386859225396535,-0.14770087140566407,0.1448194438645154
ridge,False,ridge,True,batch,xavier,0.001,0.64867052270508,0.07387012720339536,-0.1477025970506444,0.14482182535959695
normal,False,normal,True,batch,xavier,0.001,0.6486710563379746,0.07387043048025728,-0.14770354705584357,0.14482237665034156
lasso,False,lasso,False,batch,xavier,0.0001,0.6505110750710038,0.07411991423961502,-0.1509573871995936,0.14528691055437343
ridge,False,ridge,False,batch,xavier,0.0001,0.6505116336780652,0.07412079362949082,-0.1509583684142067,0.1452882745380564
normal,False,normal,False,batch,xavier,0.0001,0.6505119451285226,0.07412096821574447,-0.15095892280603007,0.1452885919380419
lasso,False,lasso,True,batch,xavier,0.0001,0.6525509707638082,0.07439848975183146,-0.15456461848346287,0.14580460012490115
ridge,False,ridge,True,batch,xavier,0.0001,0.6525510684946461,0.07439864396941759,-0.15456479014252467,0.14580483931400534
normal,False,normal,True,batch,xavier,0.0001,0.6525511234787928,0.0743986746365622,-0.15456488801105656,0.1458048950711724
polynomial,True,normal,True,batch,xavier,0.01,0.6934964801135635,0.15925198326712262,-0.22751172039423095,0.29210053667840624
polynomial,True,normal,False,batch,xavier,0.001,0.721415126114774,0.1696954343903949,-0.2769971482709098,0.3110614088575056
polynomial,True,normal,True,mini-batch,xavier,0.0001,0.7494137423112642,0.18069846486757785,-0.32663376003274613,0.3310361099312022
polynomial,True,normal,True,batch,xavier,0.001,0.7567355044045685,0.18351416856433567,-0.3396134737307893,0.3361499520902813
polynomial,True,normal,False,batch,xavier,0.0001,0.7600639013790493,0.18482975807949562,-0.3455143812608664,0.3385386329796501
polynomial,True,normal,True,batch,xavier,0.0001,0.7637788352347624,0.18630475550896786,-0.35210070647439184,0.34121676598126677
